"['baseline', 'ps3']","['baseline', 'ps6']","['baseline', 'ps7']","['baseline', 'ps4']","['baseline', 'ps5']","['baseline', 'ps8']","['baseline', 'ps1']","['baseline', 'ps2']","['THADS5m3s30alph', 'ps3']","['THADS5m3s30alph', 'ps6']","['THADS5m3s30alph', 'ps7']","['THADS5m3s30alph', 'ps4']","['THADS5m3s30alph', 'ps5']","['THADS5m3s30alph', 'ps8']","['THADS5m3s30alph', 'ps1']","['THADS5m3s30alph', 'ps2']","['THADS5m1s40alph', 'ps3']","['THADS5m1s40alph', 'ps6']","['THADS5m1s40alph', 'ps7']","['THADS5m1s40alph', 'ps4']","['THADS5m1s40alph', 'ps5']","['THADS5m1s40alph', 'ps8']","['THADS5m1s40alph', 'ps1']","['THADS5m1s40alph', 'ps2']","['THADS5m1s30alph', 'ps3']","['THADS5m1s30alph', 'ps6']","['THADS5m1s30alph', 'ps7']","['THADS5m1s30alph', 'ps4']","['THADS5m1s30alph', 'ps5']","['THADS5m1s30alph', 'ps8']","['THADS5m1s30alph', 'ps1']","['THADS5m1s30alph', 'ps2']","['THADS5m3s40alph', 'ps3']","['THADS5m3s40alph', 'ps6']","['THADS5m3s40alph', 'ps7']","['THADS5m3s40alph', 'ps4']","['THADS5m3s40alph', 'ps5']","['THADS5m3s40alph', 'ps8']","['THADS5m3s40alph', 'ps1']","['THADS5m3s40alph', 'ps2']","['THADS5m5s30alph', 'ps3']","['THADS5m5s30alph', 'ps6']","['THADS5m5s30alph', 'ps7']","['THADS5m5s30alph', 'ps4']","['THADS5m5s30alph', 'ps5']","['THADS5m5s30alph', 'ps8']","['THADS5m5s30alph', 'ps1']","['THADS5m5s30alph', 'ps2']","['THADS5m5s40alph', 'ps3']","['THADS5m5s40alph', 'ps6']","['THADS5m5s40alph', 'ps7']","['THADS5m5s40alph', 'ps4']","['THADS5m5s40alph', 'ps5']","['THADS5m5s40alph', 'ps8']","['THADS5m5s40alph', 'ps1']","['THADS5m5s40alph', 'ps2']"
57.4,61.0,52.8,56.0,53.0,52.0,61.2,58.6,58.6,53.8,54.8,38.6,51.2,57.6,57.2,58.4,32.2,30.6,30.2,27.6,30.2,35.0,29.4,31.6,28.2,28.0,28.6,26.0,26.2,28.0,25.8,24.8,61.2,65.8,53.6,42.2,59.8,61.0,65.4,64.4,60.2,63.4,54.6,57.8,58.4,58.4,64.0,63.2,51.6,52.2,44.4,30.0,47.6,47.8,52.4,50.0
60.4,58.6,38.6,35.0,51.0,53.2,60.6,58.2,56.2,51.4,50.4,40.4,53.2,58.0,55.4,60.2,32.0,29.4,29.6,28.8,31.0,32.0,33.2,30.0,27.6,26.0,27.2,25.2,28.0,28.0,26.6,26.6,61.4,66.0,57.8,38.2,56.6,58.2,64.0,64.2,60.8,60.0,54.2,56.6,56.4,58.6,62.6,62.0,49.8,52.0,51.2,46.2,46.2,48.2,54.2,52.0
54.4,59.2,52.2,35.0,51.6,52.8,59.6,58.8,59.6,50.2,47.6,44.4,54.0,59.4,57.8,58.0,31.2,29.6,32.0,30.0,30.2,33.4,31.6,30.0,27.2,25.8,28.0,25.0,28.0,26.4,26.0,27.6,61.0,65.0,44.2,57.8,60.0,60.2,64.6,66.4,60.8,64.4,57.6,54.4,56.4,62.6,63.6,64.4,50.4,51.0,47.8,45.8,47.0,46.4,52.0,54.0
56.2,54.2,49.4,51.6,52.4,53.4,59.8,59.4,57.8,51.6,53.4,46.6,51.4,58.0,58.0,58.6,32.6,30.2,30.0,27.2,31.6,34.0,30.6,30.8,26.6,27.0,26.8,24.6,25.6,27.2,25.4,27.0,61.8,65.8,60.0,36.8,60.0,60.8,64.6,64.2,60.8,61.6,57.0,56.2,55.2,59.4,63.6,64.8,48.4,50.0,41.4,48.2,45.6,47.4,51.0,51.0
54.0,59.2,40.8,50.6,48.8,56.6,63.6,57.6,58.8,49.0,50.8,48.2,54.2,60.6,59.2,61.2,33.6,29.2,29.0,26.8,30.4,37.0,31.4,30.6,27.4,26.2,27.0,26.6,27.0,26.8,25.6,26.6,61.0,64.6,58.6,54.8,60.2,59.6,63.8,64.2,64.6,61.8,55.2,57.4,58.6,59.2,62.6,63.6,47.8,51.8,46.8,48.4,45.4,47.2,52.8,51.4
60.6,60.4,49.2,52.0,53.6,56.4,61.8,59.8,58.2,52.2,53.6,49.8,51.8,57.2,58.2,58.4,31.4,29.0,31.8,27.2,29.2,32.6,32.2,32.6,27.0,26.8,26.4,24.6,27.8,27.2,28.4,26.0,64.0,64.6,55.6,39.6,59.6,60.0,63.2,67.0,64.0,62.8,58.0,56.4,60.8,58.0,63.6,64.4,49.0,51.4,46.8,49.6,47.0,47.4,51.4,50.8
57.0,60.8,45.4,49.8,51.8,57.2,60.8,56.8,56.0,52.2,50.2,46.4,53.0,58.4,56.6,58.2,30.6,29.4,30.8,27.8,30.2,32.4,31.0,32.2,27.2,28.4,27.6,24.6,26.8,28.0,27.2,26.2,62.4,66.6,56.6,46.6,60.6,62.0,63.2,65.8,61.2,63.2,57.0,51.8,57.2,59.2,64.0,63.8,50.6,52.0,47.6,45.4,46.0,49.6,53.0,50.4
60.8,58.6,51.8,51.0,49.0,51.8,59.0,57.4,58.8,53.4,49.6,48.2,50.4,57.8,58.0,58.0,32.0,31.0,30.8,28.0,30.0,32.2,31.6,30.4,27.6,26.8,29.2,24.6,27.2,27.2,25.4,28.6,61.4,62.0,52.4,53.6,61.2,60.2,66.2,64.4,60.2,64.8,57.4,56.8,58.4,59.6,63.6,62.4,52.0,51.4,47.6,47.4,44.4,47.2,53.6,51.4
59.0,60.6,43.0,52.6,49.8,53.6,60.8,58.6,59.6,54.4,44.4,49.0,54.2,58.0,58.6,60.0,33.4,30.2,30.8,27.0,30.4,34.4,31.4,30.8,27.2,26.6,27.2,26.0,27.4,27.6,26.8,25.2,62.0,63.8,57.0,59.6,58.8,61.8,63.4,63.0,60.0,61.6,57.2,52.4,56.4,61.0,65.4,63.0,48.2,51.0,46.2,47.2,45.4,47.4,50.4,51.0
56.6,59.6,45.8,47.8,51.0,53.8,60.4,57.4,58.8,47.4,46.8,44.2,48.6,61.6,56.6,57.4,30.6,29.0,30.6,27.4,30.8,31.8,31.8,31.8,26.6,26.2,27.6,25.2,27.4,26.0,27.6,27.2,61.0,65.8,42.4,54.0,58.8,60.6,64.2,64.2,60.4,64.4,54.0,58.2,57.4,60.8,61.8,62.4,47.6,49.4,47.0,42.4,46.4,48.0,55.8,49.8
